         4931400 function calls (4927001 primitive calls) in 23.957 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  443/181    0.002    0.000    0.002    0.000 sre_parse.py:142(getwidth)
        2    0.000    0.000    0.002    0.001 wrapper.py:577(wrapperCall)
        1    0.002    0.002    0.002    0.002 acceleratesupport.py:1(<module>)
        1    0.000    0.000    0.002    0.002 GL_1_5.py:9(<module>)
        1    0.001    0.001    0.002    0.002 vertex_attrib_64bit.py:52(<module>)
        5    0.000    0.000    0.002    0.000 __init__.py:337(__init__)
      129    0.000    0.000    0.002    0.000 __init__.py:1705(getLogger)
        1    0.001    0.001    0.002    0.002 arrayhelpers.py:5(<module>)
        2    0.000    0.000    0.002    0.001 exceptional.py:164(glGenTextures)
        1    0.000    0.000    0.002    0.002 GL_4_2.py:1(<module>)
        1    0.001    0.001    0.002    0.002 tarfile.py:30(<module>)
        1    0.001    0.001    0.002    0.002 transform_feedback2.py:36(<module>)
        1    0.000    0.000    0.002    0.002 pickle.py:173(<listcomp>)
        1    0.000    0.000    0.002    0.002 shader_subroutine.py:1(<module>)
        1    0.002    0.002    0.002    0.002 parse.py:475(<dictcomp>)
        1    0.001    0.001    0.002    0.002 GL_4_4.py:9(<module>)
       90    0.000    0.000    0.002    0.000 re.py:153(match)
        1    0.001    0.001    0.002    0.002 result.py:1(<module>)
      827    0.002    0.000    0.002    0.000 {method 'setdefault' of 'dict' objects}
        1    0.001    0.001    0.002    0.002 exceptional.py:1(<module>)
       93    0.000    0.000    0.002    0.000 GL_2_0.py:12(_f)
       39    0.000    0.000    0.002    0.000 shader_objects.py:12(_f)
     1230    0.001    0.000    0.002    0.000 sre_parse.py:132(__getitem__)
        1    0.001    0.001    0.002    0.002 texture_buffer_object_rgb32.py:16(<module>)
      129    0.001    0.000    0.002    0.000 __init__.py:1094(getLogger)
        1    0.000    0.000    0.002    0.002 difflib.py:29(<module>)
        1    0.000    0.000    0.002    0.002 annotations.py:4(<module>)
        4    0.002    0.000    0.002    0.000 {built-in method LoadLibrary}
      250    0.001    0.000    0.002    0.000 baseplatform.py:150(<listcomp>)
        1    0.000    0.000    0.002    0.002 sndarray.py:58(<module>)
        1    0.001    0.001    0.001    0.001 shader_image_size.py:13(<module>)
        1    0.000    0.000    0.001    0.001 sampler_objects.py:38(<module>)
       34    0.001    0.000    0.001    0.000 {built-in method _isdir}
        1    0.001    0.001    0.001    0.001 sprite.py:67(<module>)
      228    0.001    0.000    0.001    0.000 __init__.py:370(__getitem__)
        1    0.001    0.001    0.001    0.001 texture_rgb10_a2ui.py:20(<module>)
        1    0.000    0.000    0.001    0.001 numerictypes.py:82(<module>)
       39    0.001    0.000    0.001    0.000 {built-in method stat}
       46    0.000    0.000    0.001    0.000 GL_4_0.py:12(_f)
       34    0.000    0.000    0.001    0.000 arrayhelpers.py:159(setInputArraySizeType)
       11    0.000    0.000    0.001    0.000 extensions.py:231(finalise)
      116    0.001    0.000    0.001    0.000 ntpath.py:188(splitdrive)
        1    0.001    0.001    0.001    0.001 fnmatch.py:11(<module>)
        1    0.001    0.001    0.001    0.001 viewport_array.py:35(<module>)
        1    0.001    0.001    0.001    0.001 subprocess.py:335(<module>)
